734.07104,150.08934,0.9763925
739.92755,145.19109,0.94048214
729.2387,145.10219,0.9139248
748.4389,149.9999,0.8016501
721.5728,150.23492,0.63761836
762.1333,185.67308,0.9960012
708.4125,187.20099,0.99178493
781.9928,222.87978,0.9872405
689.44415,229.2034,0.9664048
757.3145,242.04276,0.9763659
677.79315,266.41562,0.9523619
742.5335,272.75467,0.9976351
707.3209,271.44986,0.9966577
740.85455,335.98306,0.99356854
699.979,336.73428,0.9912465
743.50977,398.9848,0.9682746
696.24634,402.69385,0.9616659
