1247.8936,336.31476,0.9671691
1256.0403,329.36398,0.9507249
1242.0902,328.58817,0.9170961
1270.8469,332.97992,0.83401686
1234.5042,331.61505,0.6486975
1285.2491,375.09155,0.9964522
1222.9348,373.9196,0.99705964
1298.6041,427.5682,0.98050356
1205.2944,430.2072,0.97295004
1284.2943,464.42102,0.96529317
1191.8005,484.566,0.9500726
1260.3994,483.24524,0.99658704
1222.8779,480.7413,0.9968039
1247.669,567.2374,0.98700386
1222.2366,564.2619,0.9852308
1228.3362,648.20306,0.9592499
1221.8428,644.8259,0.9558007
